id,l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,y
0,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
1,1,5,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,0
2,2,5,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
5,2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
7,1,6,0,0,0,0,0,0,0,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
8,1,5,0,2,2,2,2,0,0,2,0,2,2,2,0.0,0.0,2,2,2,2,1
9,2,6,-1,0,0,0,0,0,-2,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
11,2,4,2,0,0,0,0,2,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0
12,1,6,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,2,2,2,2,1
13,2,6,0,0,0,0,0,0,2,0,2,0,0,0,0.0,0.0,0,0,0,0,0
14,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
15,2,4,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,1
16,2,6,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,1
17,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
18,2,5,7,5,5,5,5,4,3,5,8,5,5,5,0.0,0.0,5,5,5,5,1
19,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
20,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
21,2,5,0,2,2,2,2,0,0,2,2,2,2,2,0.0,0.0,2,2,2,2,1
